product_id,name,category,brand,cost_price,selling_price,launch_date
P001,Google Laptop Model 1,Laptop,Dell,628,849,2022-04-21
P002,Sony Laptop Model 2,Laptop,Sony,856,1388,2024-05-22
P003,Logitech Laptop Model 3,Laptop,Sony,406,560,2023-12-20
P004,Google Smartphone Model 4,Smartphone,Samsung,415,539,2024-06-18
P005,Sony Wearables Model 5,Wearables,HP,853,1144,2022-04-15
P006,Lenovo Laptop Model 6,Laptop,Apple,269,457,2022-10-26
P007,Apple Accessories Model 7,Accessories,Dell,1056,1540,2022-12-18
P008,Logitech Wearables Model 8,Wearables,Sony,1069,1522,2022-01-13
P009,Logitech Accessories Model 9,Accessories,HP,1130,1763,2023-06-18
P010,Lenovo Accessories Model 10,Accessories,Samsung,847,1360,2023-05-14
P011,Logitech Tablet Model 11,Tablet,Google,428,642,2022-03-17
P012,Sony Accessories Model 12,Accessories,Apple,873,1435,2022-07-13
P013,Sony Wearables Model 13,Wearables,Apple,260,467,2022-12-27
P014,Apple Smartphone Model 14,Smartphone,Dell,910,1473,2023-05-22
P015,Lenovo Smartphone Model 15,Smartphone,Lenovo,1194,1898,2023-07-04
P016,Apple Accessories Model 16,Accessories,Apple,855,1497,2022-05-18
P017,Sony Accessories Model 17,Accessories,Dell,475,623,2023-03-21
P018,Samsung Accessories Model 18,Accessories,Logitech,80,109,2022-12-30
P019,Apple Laptop Model 19,Laptop,Logitech,249,388,2023-01-22
P020,Google Laptop Model 20,Laptop,Apple,1199,2058,2022-11-27
P021,Logitech Tablet Model 21,Tablet,Sony,1047,1381,2023-03-01
P022,Lenovo Tablet Model 22,Tablet,Google,128,215,2022-03-07
P023,Samsung Smartphone Model 23,Smartphone,Apple,842,1432,2024-02-16
P024,Lenovo Wearables Model 24,Wearables,Dell,873,1416,2024-03-05
P025,Sony Accessories Model 25,Accessories,Logitech,834,1147,2022-05-03
P026,Lenovo Smartphone Model 26,Smartphone,HP,871,1358,2023-11-16
P027,HP Laptop Model 27,Laptop,Dell,795,1248,2023-03-16
P028,Logitech Laptop Model 28,Laptop,Logitech,404,651,2023-07-24
P029,Logitech Smartphone Model 29,Smartphone,Sony,783,1252,2022-08-19
P030,Logitech Wearables Model 30,Wearables,Asus,776,1052,2022-07-28
P031,Logitech Tablet Model 31,Tablet,Samsung,621,955,2022-07-21
P032,Apple Wearables Model 32,Wearables,Asus,488,856,2022-10-02
P033,Sony Wearables Model 33,Wearables,Samsung,552,745,2022-12-16
P034,Logitech Wearables Model 34,Wearables,Lenovo,1181,1629,2024-03-15
P035,Apple Accessories Model 35,Accessories,Dell,1088,1891,2024-01-01
P036,Asus Wearables Model 36,Wearables,Logitech,1075,1617,2022-05-10
P037,HP Wearables Model 37,Wearables,Sony,92,169,2023-12-14
P038,Sony Wearables Model 38,Wearables,HP,330,565,2023-01-06
P039,HP Accessories Model 39,Accessories,Sony,726,1100,2024-04-10
P040,Apple Smartphone Model 40,Smartphone,Google,450,688,2023-01-20
P041,Lenovo Wearables Model 41,Wearables,Logitech,623,1119,2023-01-21
P042,Samsung Tablet Model 42,Tablet,Dell,221,409,2023-05-30
P043,Google Wearables Model 43,Wearables,Apple,739,985,2023-08-24
P044,Sony Accessories Model 44,Accessories,Asus,691,942,2023-10-25
P045,Sony Accessories Model 45,Accessories,Asus,624,1126,2023-12-09
P046,Dell Accessories Model 46,Accessories,Sony,1106,1819,2022-02-19
P047,HP Smartphone Model 47,Smartphone,Lenovo,332,435,2023-05-04
P048,Logitech Wearables Model 48,Wearables,Lenovo,167,264,2022-11-30
P049,Apple Tablet Model 49,Tablet,HP,532,882,2023-06-01
P050,Apple Wearables Model 50,Wearables,Sony,671,1156,2024-01-18
